panel (3149, 6920) 2014-01-02 00:00:00 -> 2026-07-10 00:00:00
== vol_managed_qqq: baseline +42.51% (published +42.51%) bench +28.96% excess +13.56%
          variant         family  total_net   sharpe    max_dd    bench    excess  d_excess
         baseline       baseline   0.425128 1.588001 -0.188629 0.289561  0.135567  0.000000
        cost_x0.5          costs   0.426425 1.591841 -0.188323 0.289561  0.136865  0.001297
        cost_x2.0          costs   0.422536 1.580320 -0.189241 0.289561  0.132976 -0.002592
        cost_x4.0          costs   0.417367 1.564951 -0.190463 0.289561  0.127806 -0.007761
      cost_+10bps          costs   0.412215 1.549575 -0.191683 0.289561  0.122654 -0.012913
   param_sigma-20         params   0.341255 1.543912 -0.152635 0.289561  0.051695 -0.083872
   param_sigma+20         params   0.490998 1.591319 -0.222283 0.289561  0.201437  0.065870
      param_lb-20         params   0.378391 1.440592 -0.180720 0.289561  0.088830 -0.046737
      param_lb+20         params   0.394652 1.493595 -0.191548 0.289561  0.105092 -0.030475
    param_band-20         params   0.428548 1.593865 -0.189253 0.289561  0.138988  0.003420
    param_band+20         params   0.425215 1.586457 -0.189202 0.289561  0.135655  0.000088
         delay_1d   signal_delay   0.432834 1.606443 -0.190609 0.289561  0.143273  0.007706
         delay_2d   signal_delay   0.420669 1.567857 -0.183831 0.289561  0.131108 -0.004459
         delay_5d   signal_delay   0.485624 1.738886 -0.189528 0.289561  0.196063  0.060496
        exec_open exec_timestamp   0.444719 1.643453 -0.187838 0.289561  0.155158  0.019591
     miss_5pct_s0  missed_trades   0.425128 1.588001 -0.188629 0.289561  0.135567  0.000000
     miss_5pct_s1  missed_trades   0.419032 1.570157 -0.190611 0.289561  0.129471 -0.006096
     miss_5pct_s2  missed_trades   0.425675 1.589539 -0.188629 0.289561  0.136114  0.000547
     miss_5pct_s4  missed_trades   0.433493 1.606629 -0.189219 0.289561  0.143933  0.008366
     miss_5pct_s7  missed_trades   0.441130 1.636124 -0.188629 0.289561  0.151570  0.016003
    miss_10pct_s0  missed_trades   0.428953 1.598006 -0.188629 0.289561  0.139393  0.003826
    miss_10pct_s1  missed_trades   0.418220 1.567588 -0.190611 0.289561  0.128659 -0.006908
    miss_10pct_s2  missed_trades   0.427373 1.591712 -0.188141 0.289561  0.137812  0.002245
    miss_10pct_s4  missed_trades   0.410476 1.550246 -0.189219 0.289561  0.120916 -0.014651
    miss_10pct_s7  missed_trades   0.441130 1.636124 -0.188629 0.289561  0.151570  0.016003
     lag_10pct_s0     random_lag   0.428953 1.598006 -0.188629 0.289561  0.139393  0.003826
     lag_10pct_s1     random_lag   0.418220 1.567588 -0.190611 0.289561  0.128659 -0.006908
     lag_10pct_s2     random_lag   0.424287 1.584480 -0.189895 0.289561  0.134727 -0.000840
     lag_10pct_s4     random_lag   0.438667 1.628514 -0.189219 0.289561  0.149106  0.013539
     lag_10pct_s7     random_lag   0.441130 1.636124 -0.188629 0.289561  0.151570  0.016003
missobs_0.5pct_s0    missing_obs   0.429659 1.613546 -0.188629 0.289561  0.140098  0.004531
missobs_0.5pct_s1    missing_obs   0.339714 1.618240 -0.076792 0.289561  0.050153 -0.085414
missobs_0.5pct_s2    missing_obs   0.372724 1.542740 -0.188629 0.289561  0.083164 -0.052403
  missobs_2pct_s0    missing_obs   0.261585 1.289756 -0.182076 0.289561 -0.027975 -0.163542
  missobs_2pct_s1    missing_obs   0.166662 0.964408 -0.076792 0.289561 -0.122898 -0.258466
  missobs_2pct_s2    missing_obs   0.382160 1.667849 -0.145257 0.289561  0.092600 -0.042967
       start_+21d      alt_start   0.333886 1.421506 -0.188629 0.246691  0.087194 -0.048373
       start_+42d      alt_start   0.305685 1.432183 -0.188629 0.233892  0.071793 -0.063774
       start_+63d      alt_start   0.177625 0.993039 -0.188629 0.170118  0.007506 -0.128061
      univ_U1-spy   alt_universe   0.371442 1.570525 -0.168694 0.289561  0.081882 -0.053685
        lev_x0.75       leverage   0.311571 1.588001 -0.142933 0.289561  0.022011 -0.113556
         lev_x0.5       leverage   0.202615 1.588001 -0.096197 0.289561 -0.086945 -0.222512
vol_managed_qqq done in 1s, 42 rows
== vol_core_svxy: baseline +36.10% (published +36.10%) bench +28.96% excess +7.15%
          variant         family  total_net   sharpe    max_dd    bench    excess  d_excess
         baseline       baseline   0.361049 1.309694 -0.189981 0.289561  0.071489  0.000000
        cost_x0.5          costs   0.363744 1.317393 -0.189657 0.289561  0.074184  0.002695
        cost_x2.0          costs   0.355675 1.294298 -0.190630 0.289561  0.066115 -0.005374
        cost_x4.0          costs   0.344989 1.263521 -0.191926 0.289561  0.055429 -0.016060
      cost_+10bps          costs   0.334386 1.232763 -0.193220 0.289561  0.044826 -0.026663
   param_sigma-20         params   0.301705 1.254230 -0.169842 0.289561  0.012145 -0.059344
   param_sigma+20         params   0.418800 1.376586 -0.205186 0.289561  0.129240  0.057751
   param_svxyw-20         params   0.357456 1.306704 -0.186419 0.289561  0.067896 -0.003593
   param_svxyw+20         params   0.365604 1.315643 -0.193351 0.289561  0.076043  0.004554
    param_gate-20         params   0.388495 1.389023 -0.184498 0.289561  0.098934  0.027446
    param_gate+20         params   0.372160 1.338759 -0.192592 0.289561  0.082600  0.011111
         delay_1d   signal_delay   0.421478 1.467182 -0.177517 0.289561  0.131917  0.060428
         delay_2d   signal_delay   0.448850 1.534756 -0.176515 0.289561  0.159290  0.087801
         delay_5d   signal_delay   0.453496 1.502414 -0.183901 0.289561  0.163935  0.092446
        exec_open exec_timestamp   0.407833 1.434133 -0.181023 0.289561  0.118273  0.046784
     miss_5pct_s0  missed_trades   0.365284 1.323127 -0.186804 0.289561  0.075724  0.004235
     miss_5pct_s1  missed_trades   0.355628 1.294806 -0.191254 0.289561  0.066067 -0.005421
     miss_5pct_s2  missed_trades   0.362342 1.313410 -0.189333 0.289561  0.072781  0.001293
     miss_5pct_s4  missed_trades   0.375929 1.348239 -0.191012 0.289561  0.086369  0.014880
     miss_5pct_s7  missed_trades   0.370830 1.337382 -0.190022 0.289561  0.081270  0.009781
    miss_10pct_s0  missed_trades   0.372218 1.340933 -0.186804 0.289561  0.082658  0.011169
    miss_10pct_s1  missed_trades   0.357252 1.299172 -0.191254 0.289561  0.067691 -0.003798
    miss_10pct_s2  missed_trades   0.368663 1.329338 -0.189063 0.289561  0.079103  0.007614
    miss_10pct_s4  missed_trades   0.374063 1.344817 -0.190794 0.289561  0.084503  0.013014
    miss_10pct_s7  missed_trades   0.378115 1.357320 -0.190025 0.289561  0.088555  0.017066
     lag_10pct_s0     random_lag   0.372218 1.340933 -0.186804 0.289561  0.082658  0.011169
     lag_10pct_s1     random_lag   0.357024 1.298485 -0.191254 0.289561  0.067463 -0.004026
     lag_10pct_s2     random_lag   0.366659 1.324480 -0.190113 0.289561  0.077098  0.005609
     lag_10pct_s4     random_lag   0.371141 1.336273 -0.190794 0.289561  0.081580  0.010091
     lag_10pct_s7     random_lag   0.377293 1.354976 -0.190025 0.289561  0.087733  0.016244
missobs_0.5pct_s0    missing_obs   0.329570 1.230252 -0.189981 0.289561  0.040009 -0.031480
missobs_0.5pct_s1    missing_obs   0.309771 1.201569 -0.196738 0.289561  0.020211 -0.051278
missobs_0.5pct_s2    missing_obs   0.375047 1.387278 -0.177273 0.289561  0.085487  0.013998
  missobs_2pct_s0    missing_obs   0.338317 1.346755 -0.185399 0.289561  0.048756 -0.022733
  missobs_2pct_s1    missing_obs   0.255768 1.069894 -0.186105 0.289561 -0.033793 -0.105281
  missobs_2pct_s2    missing_obs   0.359655 1.361997 -0.177114 0.289561  0.070095 -0.001394
       start_+21d      alt_start   0.291902 1.191561 -0.189981 0.246691  0.045211 -0.026278
       start_+42d      alt_start   0.237854 1.091760 -0.189981 0.233892  0.003963 -0.067526
       start_+63d      alt_start   0.144297 0.786235 -0.189981 0.170118 -0.025821 -0.097310
  univ_U1-spycore   alt_universe   0.328565 1.290924 -0.188585 0.289561  0.039004 -0.032485
        lev_x0.75       leverage   0.268338 1.309694 -0.144794 0.289561 -0.021222 -0.092711
         lev_x0.5       leverage   0.176801 1.309694 -0.098060 0.289561 -0.112759 -0.184248
vol_core_svxy done in 1s, 42 rows
== dual_momentum_gem: baseline +58.56% (published +58.56%) bench +21.17% excess +37.39%
          variant         family  total_net   sharpe    max_dd    bench    excess  d_excess
         baseline       baseline   0.585587 1.783637 -0.167686 0.211660  0.373926  0.000000
        cost_x0.5          costs   0.586995 1.786586 -0.167686 0.211660  0.375335  0.001408
        cost_x2.0          costs   0.582773 1.777717 -0.167686 0.211660  0.371112 -0.002814
        cost_x4.0          costs   0.577155 1.765797 -0.167686 0.211660  0.365495 -0.008432
      cost_+10bps          costs   0.571550 1.753769 -0.167686 0.211660  0.359890 -0.014036
      param_lb-20         params   0.177539 0.742702 -0.216439 0.211660 -0.034121 -0.408047
      param_lb+20         params   0.135971 0.590310 -0.167686 0.211660 -0.075689 -0.449616
      param_skip5         params   0.585587 1.783637 -0.167686 0.211660  0.373926  0.000000
     param_skip21         params   0.507457 1.586194 -0.167686 0.211660  0.295797 -0.078130
    param_elev-20         params   0.455199 1.783637 -0.135903 0.211660  0.243539 -0.130388
    param_elev+20         params   0.722138 1.783637 -0.198614 0.211660  0.510477  0.136551
         delay_1d   signal_delay   0.638207 1.908476 -0.167686 0.211660  0.426547  0.052621
         delay_2d   signal_delay   0.618692 1.866858 -0.167686 0.211660  0.407032  0.033106
         delay_5d   signal_delay   0.643470 1.910273 -0.167686 0.211660  0.431810  0.057884
        rshift_1d    rebal_shift   0.638207 1.908476 -0.167686 0.211660  0.426547  0.052621
        rshift_3d    rebal_shift   0.374944 1.270894 -0.167686 0.211660  0.163284 -0.210642
        exec_open exec_timestamp   0.608588 1.836619 -0.166007 0.211660  0.396928  0.023001
     miss_5pct_s0  missed_trades   0.585587 1.783637 -0.167686 0.211660  0.373926  0.000000
     miss_5pct_s1  missed_trades   0.585587 1.783637 -0.167686 0.211660  0.373926  0.000000
     miss_5pct_s2  missed_trades   0.585587 1.783637 -0.167686 0.211660  0.373926  0.000000
     miss_5pct_s4  missed_trades   0.585587 1.783637 -0.167686 0.211660  0.373926  0.000000
     miss_5pct_s7  missed_trades   0.589353 1.792280 -0.167686 0.211660  0.377693  0.003766
    miss_10pct_s0  missed_trades   0.592298 1.796840 -0.167686 0.211660  0.380638  0.006712
    miss_10pct_s1  missed_trades   0.585587 1.783637 -0.167686 0.211660  0.373926  0.000000
    miss_10pct_s2  missed_trades   0.585587 1.783637 -0.167686 0.211660  0.373926  0.000000
    miss_10pct_s4  missed_trades   0.585587 1.783637 -0.167686 0.211660  0.373926  0.000000
    miss_10pct_s7  missed_trades   0.589353 1.792280 -0.167686 0.211660  0.377693  0.003766
     lag_10pct_s0     random_lag   0.592298 1.796840 -0.167686 0.211660  0.380638  0.006712
     lag_10pct_s1     random_lag   0.585587 1.783637 -0.167686 0.211660  0.373926  0.000000
     lag_10pct_s2     random_lag   0.585587 1.783637 -0.167686 0.211660  0.373926  0.000000
     lag_10pct_s4     random_lag   0.585587 1.783637 -0.167686 0.211660  0.373926  0.000000
     lag_10pct_s7     random_lag   0.589353 1.792280 -0.167686 0.211660  0.377693  0.003766
missobs_0.5pct_s0    missing_obs   0.519902 1.644455 -0.187099 0.211660  0.308242 -0.065684
missobs_0.5pct_s1    missing_obs   0.591884 1.839783 -0.167686 0.211660  0.380224  0.006297
missobs_0.5pct_s2    missing_obs   0.558135 1.724137 -0.167686 0.211660  0.346475 -0.027452
  missobs_2pct_s0    missing_obs   0.629358 2.121575 -0.187099 0.211660  0.417698  0.043772
  missobs_2pct_s1    missing_obs   0.045943 0.304656 -0.200758 0.211660 -0.165717 -0.539644
  missobs_2pct_s2    missing_obs   0.456160 1.502460 -0.181456 0.211660  0.244500 -0.129427
       start_+21d      alt_start   0.609780 1.981063 -0.167686 0.190058  0.419722  0.045796
       start_+42d      alt_start   0.585713 2.047278 -0.167686 0.165994  0.419719  0.045792
       start_+63d      alt_start   0.464754 1.826399 -0.167686 0.123419  0.341334 -0.032592
   univ_U1-addeem   alt_universe   0.438280 1.206219 -0.198934 0.211660  0.226620 -0.147306
      univ_U2-ief   alt_universe   0.585587 1.783637 -0.167686 0.211660  0.373926  0.000000
        lev_x0.75       leverage   0.423602 1.783637 -0.127823 0.211660  0.211942 -0.161985
         lev_x0.5       leverage   0.271805 1.783637 -0.086602 0.211660  0.060145 -0.313781
dual_momentum_gem done in 1s, 45 rows
== momentum_concentrated: baseline +35.44% (published +35.44%) bench +21.17% excess +14.27%
          variant         family  total_net   sharpe    max_dd    bench    excess  d_excess
