book,window,regime,days,pct_days,sum_log_net,sum_rel,sharpe,avg_gross,dd_share
vol_managed_qqq,W1,R1:bull,208,82.5,0.3013,0.0988,1.59,1.62,0.89
vol_managed_qqq,W1,R1:bear,44,17.5,0.0529,0.0136,1.56,0.53,0.11
vol_managed_qqq,W1,R2:low,202,80.2,0.1534,0.1023,0.96,1.45,0.66
vol_managed_qqq,W1,R2:high,48,19.0,0.1664,0.0008,3.23,1.34,0.33
vol_managed_qqq,W1,R2:crisis,2,0.8,0.0345,0.0093,,1.36,0.01
vol_managed_qqq,W1,R3:falling,180,71.4,0.2628,0.0996,1.71,,0.67
vol_managed_qqq,W1,R3:rising,72,28.6,0.0914,0.0128,1.33,,0.33
vol_managed_qqq,W1,R4:falling_be,174,69.0,0.0425,0.0113,0.37,,0.98
vol_managed_qqq,W1,R4:rising_be,78,31.0,0.3118,0.1011,5.18,,0.02
vol_managed_qqq,W1,R5:risk_on,174,69.0,0.269,0.0918,1.85,,0.58
vol_managed_qqq,W1,R5:risk_off,78,31.0,0.0853,0.0206,1.13,,0.42
vol_managed_qqq,W1,R6:persistent,225,89.3,0.3027,0.1221,1.57,,0.77
vol_managed_qqq,W1,R6:choppy,27,10.7,0.0515,-0.0097,1.73,,0.23
vol_managed_qqq,W2,R1:bull,950,75.6,0.9124,0.3883,1.07,1.51,0.33
vol_managed_qqq,W2,R1:bear,306,24.4,0.1333,-0.0119,0.54,0.77,0.67
vol_managed_qqq,W2,R2:low,830,66.1,0.5555,0.2922,0.81,1.5,0.18
vol_managed_qqq,W2,R2:high,361,28.7,0.3387,0.0994,0.99,1.03,0.68
vol_managed_qqq,W2,R2:crisis,65,5.2,0.1515,-0.0153,1.96,0.78,0.15
vol_managed_qqq,W2,R3:falling,639,50.9,0.7733,0.2163,1.31,,0.12
vol_managed_qqq,W2,R3:rising,617,49.1,0.2724,0.1601,0.55,,0.88
vol_managed_qqq,W2,R4:rising_be,783,62.3,0.4287,0.2032,0.65,,0.79
vol_managed_qqq,W2,R4:falling_be,473,37.7,0.617,0.1731,1.44,,0.21
vol_managed_qqq,W2,R5:risk_off,388,30.9,0.9968,0.0976,2.59,,0.18
vol_managed_qqq,W2,R5:risk_on,868,69.1,0.0489,0.2787,0.18,,0.82
vol_managed_qqq,W2,R6:persistent,937,74.6,1.141,0.2804,1.33,,0.5
vol_managed_qqq,W2,R6:choppy,319,25.4,-0.0954,0.0959,-0.14,,0.5
vol_core_svxy,W1,R1:bull,208,82.5,0.2698,0.0659,1.47,1.82,0.83
vol_core_svxy,W1,R1:bear,44,17.5,0.0384,0.0056,0.81,1.49,0.17
vol_core_svxy,W1,R2:low,202,80.2,0.0735,0.0266,0.49,1.81,0.54
