,vol_managed_qqq,vol_core_svxy,trend_vol_qqq,defensive_ensemble,dual_momentum_gold,dual_momentum_gem,momentum_concentrated,TOTAL_acct_frac
QQQ,0.20685164053766547,0.11977912455486335,0.1810759126408919,0.07883333077072982,0.11006347162174593,0.14290313678594427,0.0,0.8395066169118407
SPY,0.0,0.09028939534469489,0.0,0.013589571908272235,0.01825958973415509,0.026032563701591387,0.0,0.1481711206887136
GLD,0.0,0.0,0.0,0.024010224907895887,0.06590929997240365,0.0,0.0,0.08991952488029953
BIL,0.0,0.0,0.02931346395609113,0.02552375241073962,0.006469812651396682,0.0,0.0,0.06130702901822744
TLT,0.0,0.0,0.0,0.009283676352792963,0.0037101769233127894,0.01861220985496581,0.0,0.03160606313107156
EFA,0.0,0.0,0.0,0.007550172393036558,0.0,0.01264833042038451,0.0,0.020198502813421067
LQD,0.0,0.0,0.0,0.019849652033144493,0.0,0.0,0.0,0.019849652033144493
HYG,0.0,0.0,0.0,0.019644943154656657,0.0,0.0,0.0,0.019644943154656657
IEF,0.0,0.0,0.0,0.019549796955150533,0.0,0.0,0.0,0.019549796955150533
SVXY,0.0,0.017683253951975657,0.0,0.0,0.0,0.0,0.0,0.017683253951975657
UUP,0.0,0.0,0.0,0.016598173006739093,0.0,0.0,0.0,0.016598173006739093
DBC,0.0,0.0,0.0,0.007351959001694185,0.0,0.0,0.0,0.007351959001694185
VNQ,0.0,0.0,0.0,0.006797289288927712,0.0,0.0,0.0,0.006797289288927712
IWM,0.0,0.0,0.0,0.006036970868059876,0.0,0.0,0.0,0.006036970868059876
EEM,0.0,0.0,0.0,0.005939084578660861,0.0,0.0,0.0,0.005939084578660861
SLV,0.0,0.0,0.0,0.004484941206879187,0.0,0.0,0.0,0.004484941206879187
USO,0.0,0.0,0.0,0.003965222565119017,0.0,0.0,0.0,0.003965222565119017
NVDA,0.0,0.0,0.0,0.0,0.0,0.0,0.001772644632530575,0.001772644632530575
NFLX,0.0,0.0,0.0,0.0,0.0,0.0,0.0013618447466540715,0.0013618447466540715
AMAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0012813012179353424,0.0012813012179353424
LRCX,0.0,0.0,0.0,0.0,0.0,0.0,0.001244252910267484,0.001244252910267484
RCL,0.0,0.0,0.0,0.0,0.0,0.0,0.0010937755900604306,0.0010937755900604306
AVGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0010810356004799999,0.0010810356004799999
AMZN,0.0,0.0,0.0,0.0,0.0,0.0,0.0010580965438657928,0.0010580965438657928
NRG,0.0,0.0,0.0,0.0,0.0,0.0,0.0009245466609929572,0.0009245466609929572
AMD,0.0,0.0,0.0,0.0,0.0,0.0,0.0009245398822976338,0.0009245398822976338
DHR,0.0,0.0,0.0,0.0,0.0,0.0,0.0009225926500979394,0.0009225926500979394
GE,0.0,0.0,0.0,0.0,0.0,0.0,0.0008855108925074904,0.0008855108925074904
LLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0008332179936195269,0.0008332179936195269
FICO,0.0,0.0,0.0,0.0,0.0,0.0,0.0008216891273148988,0.0008216891273148988
MU,0.0,0.0,0.0,0.0,0.0,0.0,0.0007950919654295805,0.0007950919654295805
PHM,0.0,0.0,0.0,0.0,0.0,0.0,0.0007860978498681427,0.0007860978498681427
KR,0.0,0.0,0.0,0.0,0.0,0.0,0.000773149835067483,0.000773149835067483
ORLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0007686113812489344,0.0007686113812489344
EW,0.0,0.0,0.0,0.0,0.0,0.0,0.0007581605639981371,0.0007581605639981371
ALGN,0.0,0.0,0.0,0.0,0.0,0.0,0.000756712659542829,0.000756712659542829
CDNS,0.0,0.0,0.0,0.0,0.0,0.0,0.0007374639632083983,0.0007374639632083983
