asset,cluster,benefit,cagr_vm,cagr_bh,n_days,avg_lev,start,end,risk_premium,vol_clustering,ret_vol_asym,dd_convexity,ar1_rv_overlap
SPY,US-equity,0.0718326950246484,0.18214868710545518,0.11031599208080678,5391,1.6586665205922835,2005-02-03,2026-07-10,0.10333709560222766,0.2559609600727096,-0.11439868895761686,2.0127316234525003,0.9938357920159032
QQQ,US-equity,0.07138923421936783,0.22849583185674205,0.15710659763737422,5391,1.480394766589882,2005-02-03,2026-07-10,0.14800225061371713,0.280701783741247,-0.10185051589503162,1.745475669822463,0.9922494231160942
IWM,US-equity,-0.0011415408404558125,0.08830787694684772,0.08944941778730353,5391,1.363851689443907,2005-02-03,2026-07-10,0.095218770548292,0.3021592338253498,-0.09926448143027952,1.7440732050964847,0.993462925111701
RSP,US-equity,0.04940795221642991,0.15058041052646765,0.10117245831003774,5391,1.6267287158591093,2005-02-03,2026-07-10,0.09768391149484577,0.289329455776903,-0.11655052626937892,1.9280303513870116,0.9948463708526005
XLB,US-equity,-0.002367302124931303,0.08089526823079196,0.08326257035572326,5391,1.4231534357806626,2005-02-03,2026-07-10,0.08806944274136302,0.24019553269442576,-0.10133125169740886,1.7744008147010495,0.9932637829538317
XLE,US-equity,-0.011729396973736206,0.0687237409443977,0.08045313791813391,5391,1.177385227314681,2005-02-03,2026-07-10,0.10792061914387249,0.20367425574121653,-0.09768080063718029,1.7447364976645694,0.9934777810607137
XLF,US-equity,0.042386107754028846,0.10254773441957199,0.060161626665543144,5391,1.4404934433955232,2005-02-03,2026-07-10,0.08120865116198417,0.3296852552111068,-0.09623199159965311,1.9777057381369418,0.9956159993923848
XLI,US-equity,0.03863236565012884,0.14690430769619622,0.10827194204606738,5391,1.5536188765222518,2005-02-03,2026-07-10,0.1048818537493999,0.2691121534730693,-0.09119756575144859,1.8102003336427182,0.9933958317308341
XLK,US-equity,0.0646762854142322,0.22531064812821278,0.16063436271398057,5391,1.4623031579773633,2005-02-03,2026-07-10,0.15342318459637375,0.31945778934775965,-0.10615820973174608,1.714369194985698,0.993024854836897
XLP,US-equity,0.06694072219956704,0.15635609272230777,0.08941537052274073,5391,1.8231595573643085,2005-02-03,2026-07-10,0.07775944281763518,0.4574396772210295,-0.11898840072497992,1.7179100247028871,0.9923603049288062
