uni,n,k,date,p,V1,stab1,V3,stab3,V6,stab6,V12,stab12
large,63,1,2019-04-01,475,0.08693639029821232,0.9999999999999992,0.09330937624612479,0.9885746423275255,0.09214601478535493,0.9791328460646521,0.0982305054896857,0.9459229546054133
large,63,1,2019-05-01,475,0.09156287400211915,1.0000000000000002,0.1000296615424426,0.9750216476108619,0.10562582963136846,0.9717546429207744,0.10450374781816643,0.9438868315666562
large,63,1,2019-06-03,475,0.13134676740670617,1.0000000000000009,0.13332283943875797,0.9786421035694922,0.1447938515535497,0.9712894592955138,0.12697768029054352,0.9449520862463258
large,63,1,2019-07-01,475,0.0872348600151014,1.000000000000001,0.0960467181177827,0.9795039701698196,0.09992843097491626,0.9685528594483275,0.08949845381172548,0.9455744914489552
large,63,1,2019-08-01,475,0.14399367267275268,1.0000000000000007,0.1382562642586241,0.9910362868433588,0.12855343502111086,0.9676875492476683,0.12884051059188067,0.9474840433319839
large,63,1,2019-09-03,475,0.1195523528036689,1.0,0.09140752013111526,0.9812377149801472,0.09117942756875076,0.9692953435418977,0.07889593158031112,0.951971240536382
large,63,1,2019-10-01,476,0.107664994543556,0.9999999999999997,0.0985268469397657,0.9819748295499733,0.09625761700922317,0.9709024990719641,0.10213510224988194,0.958901879352847
large,63,1,2019-11-01,476,0.1199857381179016,0.9999999999999999,0.12464959887649012,0.9937842036384495,0.11000015827657464,0.9761085166451218,0.10462584742246231,0.9601465924705685
large,63,1,2019-12-02,476,0.05709685193166087,1.0000000000000013,0.07981072756986263,0.9751710718035442,0.08389087018014176,0.9654770272779477,0.0884956495603658,0.955301930379849
large,63,1,2020-01-02,476,0.08301491101697822,1.0000000000000002,0.07774984549995909,0.9655595059400964,0.07738427930894214,0.954365117530094,0.07749446141080449,0.9473190638832313
large,63,1,2020-02-03,476,0.27752702382469097,0.9999999999999993,0.27888830633137834,0.9736414134038002,0.2870765265222063,0.952045584135597,0.2945392551846026,0.9436684557139117
large,63,1,2020-03-02,477,0.6801529714142497,1.0000000000000002,0.8318923332270852,0.9227552442027912,0.8312373476971381,0.9362604082849463,0.8385302774208566,0.938250612082868
large,63,1,2020-04-01,477,0.39072237764895634,1.0000000000000009,0.3415380085123422,0.9178400388577831,0.38032792083055517,0.9141936757134406,0.38951582660176937,0.9289719880530751
large,63,1,2020-05-01,477,0.3310543777046434,1.000000000000001,0.34780433716794473,0.9804499081957033,0.17835279823714817,0.8970763513633081,0.18636724136682473,0.9224273559979707
large,63,1,2020-06-01,480,0.25751347064044106,0.9999999999999992,0.2625416093999761,0.998688273367197,0.17198760961710388,0.9043264543558931,0.1856667358282001,0.9155204753247661
large,63,1,2020-07-01,480,0.162842894824857,0.9999999999999986,0.19613437365112715,0.9869506152167236,0.18078518519409065,0.9313852892032117,0.12299772908062957,0.9091511215501669
large,63,1,2020-08-03,482,0.14035915938508328,1.0,0.18234655555495433,0.9779461990326681,0.22676110922376413,0.9607127420984992,0.14367943690049134,0.9033985810200087
large,63,1,2020-09-01,483,0.24758273083750273,0.9999999999999986,0.24907955711680124,0.9884961116278833,0.2594755609954399,0.9664731257562184,0.20300764952241684,0.8966402073941737
large,63,1,2020-10-01,483,0.16102363641521097,1.000000000000001,0.16459982999849437,0.9861051800623932,0.17708088972674083,0.9683766536874544,0.151133638321117,0.897184762804768
large,63,1,2020-11-02,483,0.40908797770163907,0.9999999999999998,0.3632861947041268,0.9773147058027752,0.37837523447621835,0.9701617669126635,0.33058250607149037,0.900838627431041
large,63,1,2020-12-01,484,0.10799978339042096,0.9999999999999994,0.13739512421382363,0.9580559112192368,0.13292618164561446,0.9615576206079018,0.15364242684154303,0.9019137139428902
large,63,1,2021-01-04,484,0.14768711351639355,0.9999999999999998,0.14451677633272128,0.9396761588722614,0.1492459343276813,0.9436184823486075,0.1723320388697164,0.9066064955338444
large,63,1,2021-02-01,484,0.14676590172708565,1.0000000000000016,0.14982984224025098,0.9902152004143298,0.16126544638568308,0.9306848290456824,0.18494318574999982,0.9119926638050285
large,63,1,2021-03-01,484,0.1392983058865892,1.0000000000000009,0.17650703360188386,0.9203515620916684,0.1935985436713472,0.9158627762859709,0.21595091366096641,0.9171989757538256
large,63,1,2021-04-01,484,0.09111717651374888,1.0000000000000007,0.10427571404350201,0.883775366119692,0.11121208388247197,0.8856600058362211,0.12876236832777377,0.9085505511742371
large,63,1,2021-05-03,484,0.12078298787435524,1.0000000000000013,0.12154599430633431,0.9508759777027063,0.12770739839963174,0.8448989555670612,0.13332645121202885,0.8890735734670991
large,63,1,2021-06-01,486,0.1284780384196458,0.9999999999999994,0.11671361779667318,0.9717535664898028,0.09566177524739662,0.8191390112454204,0.11144483428219808,0.8682640048751352
large,63,1,2021-07-01,486,0.10423601856942831,0.9999999999999994,0.11140231958743078,0.9382772900385494,0.1076427066611993,0.862232331711568,0.11475112124578109,0.8654650784782595
large,63,1,2021-08-02,486,0.10362973714686986,0.9999999999999998,0.10832549219938226,0.9227750512660345,0.10298457038459621,0.916508019674107,0.11909573023472456,0.8660618086773502
large,63,1,2021-09-01,486,0.11148819773938569,1.0,0.12127540715802732,0.9710163208443592,0.1260969056646625,0.8970700099548777,0.12748434459915858,0.8633450668753893
large,63,1,2021-10-01,486,0.10652124487714053,0.9999999999999997,0.10924419446064645,0.9833331309163261,0.10120531141463335,0.8917110824177247,0.11048026395829341,0.8621178875208063
large,63,1,2021-11-01,486,0.11212925205455107,1.0000000000000009,0.1139190037319191,0.9823994416053871,0.10859235985106894,0.917444987716639,0.11186826880164373,0.8635134052352071
large,63,1,2021-12-01,487,0.14468098586075115,0.9999999999999999,0.13469461805471175,0.9752743635637963,0.13467975786270855,0.9606206399394899,0.13316672678439376,0.8688118988732427
large,63,1,2022-01-03,487,0.12307931356824069,1.0000000000000009,0.16506890581270203,0.9727103184206966,0.185973645199485,0.9553717880825314,0.16393393212026847,0.8855535049173487
large,63,1,2022-02-01,487,0.16379040980676024,1.0,0.1586587086202188,0.9720127947067472,0.17687958671347373,0.93271887496117,0.15701910152072687,0.9036985196543386
large,63,1,2022-03-01,489,0.17577720686374587,1.0,0.1746810984960149,0.9718115006993384,0.1599496881125122,0.9240507342643537,0.1591895520066549,0.8951662275232858
large,63,1,2022-04-01,489,0.18362367896784393,1.0000000000000013,0.19384460270600676,0.9770412011298105,0.19859199234388694,0.9205066724672001,0.1904695693557471,0.8834756254762886
large,63,1,2022-05-02,490,0.20063398869015653,1.0,0.19895521076772532,0.9875434786767928,0.20234348951368386,0.9373277601188895,0.18240036821970154,0.881415286222805
large,63,1,2022-06-01,490,0.18607422186179998,1.0000000000000009,0.1920435224312763,0.9917753869171613,0.17878301438255487,0.9570983317031061,0.200261633887709,0.8854102062101921
large,63,1,2022-07-01,492,0.2298768859831084,0.9999999999999974,0.20157861061314988,0.986588396499999,0.1962902079845383,0.975121229261326,0.19183989990067898,0.883070151220615
large,63,1,2022-08-01,492,0.14915231310049076,0.9999999999999999,0.14880969671531022,0.9933689197431574,0.14300118578018922,0.979554050219221,0.14010949846926046,0.8895389947844962
large,63,1,2022-09-01,492,0.1788877741929327,0.9999999999999999,0.18154290772924553,0.994976489841492,0.19281481040460394,0.9797939402597785,0.18511969418915147,0.9127718390686056
large,63,1,2022-10-03,493,0.2100597158933218,0.9999999999999984,0.21599968630439872,0.9917656893097121,0.21632538921581088,0.9809594208107726,0.22010081385447453,0.9329125671896884
large,63,1,2022-11-01,493,0.25085626239185316,1.0000000000000002,0.20393578916886437,0.9898922657839432,0.18380407604158366,0.981640336639103,0.16771725173538185,0.9498558596133164
large,63,1,2022-12-01,493,0.14071765325341093,1.0,0.1495863618993507,0.9912358919527081,0.13825941756806043,0.9825446815643222,0.12461367071580157,0.9587691711541901
large,63,1,2023-01-03,493,0.17673971227810797,0.9999999999999996,0.20486317649891336,0.9919769239670876,0.19301287957852228,0.9813809059067818,0.1682716054040018,0.9652309912391349
large,63,1,2023-02-01,493,0.14538886014848346,1.0000000000000016,0.17920816780693136,0.9927658705939023,0.19900654218026653,0.9809687595046247,0.17609242277809506,0.9654209064906782
large,63,1,2023-03-01,493,0.19112569121458214,0.9999999999999996,0.18543586351035865,0.9880381233306177,0.18582701193491968,0.9785952955548007,0.18336377947945875,0.9640370395753095
large,63,1,2023-04-03,494,0.10445378782092637,1.0000000000000009,0.10672008725617357,0.9831445769564304,0.1190009180306869,0.9772498878975743,0.12609235209338218,0.966343750096927
large,63,1,2023-05-01,494,0.09749946021918957,0.9999999999999997,0.0960922785690309,0.9811138646822618,0.10392288426991894,0.9758750798962739,0.11217150828117736,0.9678707065405131
large,63,1,2023-06-01,494,0.08923877001568481,0.9999999999999987,0.10754097174528292,0.9797285888296147,0.1315929327074378,0.9604753477064183,0.14971651431786753,0.9620642827853644
large,63,1,2023-07-03,494,0.09342565622727567,1.0000000000000004,0.10548208257384122,0.9740718772918532,0.11978272135113624,0.9501592199953354,0.1405909679667484,0.9539784572301088
large,63,1,2023-08-01,494,0.07870617413935457,1.0000000000000004,0.08037661600213347,0.9757339124038353,0.07900443857198841,0.9461764723989776,0.09405868274207592,0.9455517938834369
large,63,1,2023-09-01,494,0.09364144884394146,0.9999999999999996,0.094396021228416,0.9546072492545465,0.09746931701151468,0.9419008990610922,0.10622211245687752,0.9376633867564008
large,63,1,2023-10-02,494,0.1136889447160905,1.0000000000000002,0.11004998106215902,0.9546037048887543,0.10413244158684883,0.9362280322339758,0.11226775408331073,0.934385939763306
large,63,1,2023-11-01,494,0.08950899452413666,0.9999999999999998,0.08487090242028596,0.961637371300399,0.08093453451932396,0.9288112441734043,0.09060416966191559,0.9325283825955802
large,63,1,2023-12-01,494,0.13258418651692178,0.9999999999999998,0.13731757155719324,0.9638797584459388,0.1298731109589409,0.9290239247770202,0.14542545559940628,0.929933605758703
large,63,1,2024-01-02,494,0.07323397179085188,0.9999999999999999,0.08279667497835026,0.9735441456200387,0.08309584581515056,0.9324507684552502,0.09145560827331448,0.9276691280986121
large,63,1,2024-02-01,494,0.06006002615131191,1.0,0.05922264382508838,0.9895086712590511,0.07300467890107955,0.9425627066121809,0.08119408111868004,0.9249142992443053
large,63,1,2024-03-01,495,0.06557478495754866,1.0000000000000009,0.06186600776199415,0.9864873188809641,0.06915983423952816,0.9542517685453946,0.07817077848433457,0.9259362941752716
large,63,1,2024-04-01,495,0.10262464622036198,0.9999999999999986,0.08548556236122279,0.9676368193051115,0.08684160885508166,0.9563277991079938,0.08599100688143166,0.9210740724063644
large,63,1,2024-05-01,495,0.13207395662852053,1.000000000000001,0.12245743939758123,0.9734653716311109,0.11556549958992529,0.9571411487774509,0.12712371504733352,0.9175773269305775
large,63,1,2024-06-03,495,0.08918954108906268,1.0000000000000022,0.09240729114457112,0.9754343874256151,0.07767654049678399,0.9535117618218372,0.07947101481386519,0.9213937978928839
large,63,1,2024-07-01,495,0.12181038921583279,0.9999999999999999,0.12386715170352147,0.9783602273604222,0.10458597447898925,0.9494924685227936,0.10677386576664445,0.9239154819213361
large,63,1,2024-08-01,496,0.11288847360654661,1.0,0.10384771679753324,0.935744221410435,0.10304850361831945,0.9275201305968637,0.10136588532487394,0.9150479644963946
large,63,1,2024-09-03,496,0.08231974816966754,1.0000000000000009,0.0826943649546841,0.9470316335527796,0.08753681721132921,0.9235767781925643,0.08852777357191043,0.9100053739908295
large,63,1,2024-10-01,496,0.09167821686757072,1.0,0.08939794233679471,0.9796555423388428,0.09519218185920077,0.9257352024059621,0.09108439943094995,0.9045180144499141
large,63,1,2024-11-01,496,0.09956389327563638,0.9999999999999992,0.09561237414650323,0.9843498745815106,0.10064483721235465,0.9299814952182505,0.10942494725534435,0.9003007989366286
large,63,1,2024-12-02,496,0.1052018780296279,1.0000000000000018,0.10016078560256776,0.9140382897889058,0.09996114472693314,0.9037563502689783,0.09282775221051297,0.8802338794158037
large,63,1,2025-01-02,497,0.14555822828419643,1.0000000000000018,0.16216193911813098,0.9203360545809979,0.18128705287262006,0.8952098064755367,0.19301562987674148,0.8713069815840125
large,63,1,2025-02-03,497,0.09673808297128132,0.9999999999999994,0.0929033130432718,0.964673441527432,0.10676502528267395,0.9041170284952753,0.1300027730596063,0.8737077863464602
large,63,1,2025-03-03,497,0.15347137806725838,0.9999999999999992,0.16125329660104532,0.914430929575787,0.1582557787899055,0.8843754417682388,0.1683493496519233,0.8686680380095502
large,63,1,2025-04-01,497,0.3447978857289333,1.0000000000000002,0.3341605136501492,0.9527277135944366,0.29671020436933354,0.8798360706279291,0.2732709409538555,0.8665665907254476
large,63,1,2025-05-01,497,0.1744234411955013,0.9999999999999999,0.1526714027265699,0.9261712065227351,0.15395041746843272,0.882892909452716,0.15419853751446558,0.8709053343813851
large,63,1,2025-06-02,499,0.11661946135904162,1.0000000000000007,0.11428291326696993,0.9326411928585345,0.11620588169421113,0.8931064282056504,0.11174410699422979,0.8774191770069608
