ticker,delisted_utc,composite_figi,polygon_name,polygon_found
ABI,,,,False
ABX,,,,False
ACKH,,,,False
ACV,,,,False
ADCT,,,,False
AFS-A,,,,False
ANRZQ,,,,False
ANV,,,,False
AS,,,,False
ASC,,,,False
ASND,,,,False
AV,,,,False
BAY,,,,False
BHMSQ,,,,False
BKB,,,,False
BLY,,,,False
BMGCA,,,,False
BOAT,,,,False
BUD,,,,False
CAL,,,,False
CCB,,,,False
CCTYQ,,,,False
CCU,,,,False
CGP,,,,False
CHA,,,,False
CHRS,,,,False
CIT-A,,,,False
CITGQ,,,,False
CMB,,,,False
CNG,,,,False
CNXT,,,,False
DCNAQ,,,,False
DDS,,,,False
DGN,,,,False
DPHIQ,,,,False
DWD,,,,False
DYN,,,,False
EC,,,,False
ECH,,,,False
ECO,,,,False
EFU,,,,False
EP,,,,False
EQ,,,,False
ETS,,,,False
FBO,,,,False
FII,,,,False
FJ,,,,False
FLMIQ,,,,False
FLTWQ,,,,False
FMCC,,,,False
FMY,,,,False
FNMA,,,,False
FPC,,,,False
FRO,,,,False
GAPTQ,,,,False
GFS-A,,,,False
GIDL,,,,False
GNT,,,,False
GP,,,,False
GRN,,,,False
GX,,,,False
HBOC,,,,False
HDLM,,,,False
HFS,,,,False
HM,,,,False
IMNX,,,,False
INCLF,,,,False
JAVA,,,,False
JOS,,,,False
KG,,,,False
KM,,,,False
KWP,,,,False
LDW-B,,,,False
LLX,,,,False
LU,,,,False
MBI,,,,False
MCIC,,,,False
MEDI,,,,False
MI,,,,False
MKG,,,,False
MNR,,,,False
MST,,,,False
MTLQQ,,,,False
MTW,,,,False
MZIAQ,,,,False
NAE,,,,False
NC,,,,False
NCE,,,,False
NGH,,,,False
NLV,,,,False
NMK,,,,False
NSI,,,,False
OAT,,,,False
OK,,,,False
OM,,,,False
ORX,,,,False
OWENQ,,,,False
PAC,,,,False
PCS,,,,False
PD,,,,False
PMI,,,,False
PPW,,,,False
PWER,,,,False
RATL,,,,False
RBD,,,,False
RNB,,,,False
RYC,,,,False
SB,,,,False
SDS,,,,False
SEG,,,,False
SGID,,,,False
SGP,,,,False
SHLD,,,,False
SII,,,,False
SK,,,,False
SNT,,,,False
SSP,,,,False
SUB,,,,False
SUN,,,,False
SUNEQ,,,,False
TDM,,,,False
TEK,,,,False
TEN,,,,False
THY,,,,False
TMC,,,,False
TMC-A,,,,False
TOS,,,,False
TX,,,,False
UAWGQ,,,,False
UCC,,,,False
UCL,,,,False
UCM,,,,False
UIS,,,,False
UK,,,,False
UMG,,,,False
UN,,,,False
UPC,,,,False
UPR,,,,False
USBC,,,,False
USH,,,,False
USHC,,,,False
UST,,,,False
USW,,,,False
VAT,,,,False
VO,,,,False
VSTNQ,,,,False
WAI,,,,False
WAMUQ,,,,False
WB,,,,False
WMX,,,,False
WNDXQ,,,,False
YNR,,,,False
