ticker,member_days,priced_member_days,coverage
MRO,2744,0,0.0
FBHS,1633,0,0.0
FB,2124,0,0.0
BTUUQ,181,0,0.0
SATS,77,0,0.0
SBNY,309,0,0.0
BXLT,233,0,0.0
SE,793,0,0.0
SEE,2465,0,0.0
CA,1221,0,0.0
ETFC,1703,0,0.0
ESV,563,0,0.0
CAM,566,0,0.0
SIAL,474,0,0.0
SIVB,1256,0,0.0
TWTR,1109,0,0.0
TWC,598,0,0.0
ENDP,528,0,0.0
RTN,1575,0,0.0
EMC,675,0,0.0
BRCM,523,0,0.0
FI,610,0,0.0
VAR,1836,0,0.0
BEAM,82,0,0.0
RDC,158,0,0.0
UTX,1574,0,0.0
GGP,1172,0,0.0
RE,1523,0,0.0
BHGE,1459,0,0.0
GAS,629,0,0.0
FTR,808,0,0.0
BK,3114,0,0.0
FRX,124,0,0.0
FRC,1092,0,0.0
RHT,1391,0,0.0
FLT,1449,0,0.0
BLL,2103,0,0.0
FLIR,1854,0,0.0
FL,844,0,0.0
FDO,379,0,0.0
BCR,1006,0,0.0
CBS,1492,0,0.0
SNI,1051,0,0.0
DAY,506,0,0.0
CMA,2635,0,0.0
SWY,268,0,0.0
CMCSK,59,0,0.0
CXO,1238,0,0.0
SYMC,1471,0,0.0
TMK,1409,0,0.0
CVC,621,0,0.0
CTXS,2203,0,0.0
CTRA,1152,0,0.0
TIF,1766,0,0.0
CTLT,1071,0,0.0
COG,1952,0,0.0
CTL,1690,0,0.0
TE,629,0,0.0
TEG,375,0,0.0
CPGX,252,0,0.0
SWN,819,0,0.0
CCE,606,0,0.0
DFS,2861,0,0.0
DISCK,1933,0,0.0
SPLS,931,0,0.0
TSS,1440,0,0.0
CDAY,595,0,0.0
DWDP,438,0,0.0
SRCL,1239,0,0.0
DTV,393,0,0.0
STI,1494,0,0.0
CELG,1483,0,0.0
CERN,2123,0,0.0
STJ,758,0,0.0
DRE,1306,0,0.0
CFN,302,0,0.0
DO,693,0,0.0
CHK,1059,0,0.0
DNR,306,0,0.0
DNB,820,0,0.0
DISH,1578,0,0.0
DISCA,2083,0,0.0
RAI,896,0,0.0
VIAB,1492,0,0.0
VIAC,555,0,0.0
NLSN,2210,0,0.0
LVLT,740,0,0.0
AGN,1600,0,0.0
LSI,86,0,0.0
WRK,2267,0,0.0
LO,363,0,0.0
LM,736,0,0.0
WPX,55,0,0.0
LLTC,803,0,0.0
LLL,1382,0,0.0
LIFE,15,0,0.0
LB,1909,0,0.0
KSU,2002,0,0.0
ALTR,500,0,0.0
ALXN,1900,0,0.0
WLTW,1515,0,0.0
KRFT,378,0,0.0
NLOK,758,0,0.0
KORS,1187,0,0.0
WYND,1110,0,0.0
ADT,586,0,0.0
AABA,871,0,0.0
MON,1115,0,0.0
MNK,739,0,0.0
MMC,3026,0,0.0
MWV,377,0,0.0
ABC,2431,0,0.0
ABMD,1150,0,0.0
MXIM,689,0,0.0
