ticker,delisted_utc,composite_figi,polygon_name,polygon_found
AAMRQ,,,,False
ABI,,,,False
ABKFQ,,,,False
ABS,2006-06-02,,ALBERTSON'S INC,True
ABX,,,,False
ACAS,2017-01-04,,American Capital Ltd,True
ACKH,,,,False
ACS,2010-02-08,,AFFILIATED COMPUTER SERVS CL-A,True
ACV,,,,False
ADCT,,,,False
AFS-A,,,,False
AGC,2021-12-02,,Altimeter Growth Corp. Class A Ordinary Shares,True
AHM,2007-08-07,,AMERICAN HOME MTG INVESTMENT CRP,True
AKS,2020-03-16,BBG00FZLP897,AK Steel Holding Corp.,True
AL,2026-04-09,BBG000R3NPZ4,Air Lease Corporation,True
AMCC,2017-01-27,,Applied Micro Circuits Corporation New,True
ANDW,2007-12-28,,ANDREW CORP,True
ANRZQ,,,,False
ANV,,,,False
APCC,2007-02-15,,AMERICAN POWER CONVERSION CORP,True
APOL,2017-02-02,,Apollo Education Group Inc Class A,True
ARC,2024-11-25,BBG000BMG6V3,"ARC Document Solutions, Inc.",True
AS,,,,False
ASC,,,,False
ASN,2007-10-08,,ARCHSTONE-SMITH TRUST,True
ASND,,,,False
AT,2021-05-17,BBG005MD79T7,Atlantic Power Corporation,True
ATGE,2026-02-24,BBG000DQBZJ7,Adtalem Global Education Inc. Common Shares,True
AV,,,,False
AW,2008-12-08,,ALLIED WASTE INDUSTRIES INC,True
AWE,2004-10-27,,AT&T WIRELESS SERVICES INC.,True
AYE,2011-02-28,,ALLEGHENY ENERGY INC,True
AZA-A,,,,False
BAY,,,,False
BBI,2022-09-08,BBG000BGN354,"Brickell Biotech, Inc. Common Stock",True
BDK,2010-03-15,,BLACK & DECKER CORP,True
BEV,2006-03-16,,BEVERLY ENTERPRISES INC(NEW),True
BFI,2024-09-23,BBG00KB1G6Y2,"BurgerFi International, Inc. Common Stock",True
BFO,2020-12-16,,Blackrock Florida Municipal 2020 Term Trust,True
BGEN,2003-11-13,,BIOGEN INC,True
BGG,2020-07-21,BBG00K671FM4,Briggs & Stratton Corp.,True
BHMSQ,,,,False
BIG,2024-09-10,BBG000J0D904,"Big Lots, Inc.",True
