historical_ticker,proposed_successor_ticker,predecessor_name,successor_name,effective_date,event_type,event_basis,old_cik,new_cik,figi,sources,identifier_confidence,price_continuity_valid,manual_review_required
AAMRQ,,,,,bankruptcy_proceedings?,pattern_candidate,,,,none,uncertain,False,True
ABI,,,,,uncertain,unresolved,,,,none,uncertain,False,True
ABKFQ,,,,,bankruptcy_proceedings?,pattern_candidate,,,,none,uncertain,False,True
ABX,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
ACKH,,,,,uncertain,unresolved,,,,none,uncertain,False,True
ACV,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
ADCT,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
AFS-A,,,,,share-class?,pattern_candidate,,,,none,uncertain,False,True
ANRZQ,,,,,bankruptcy_proceedings?,pattern_candidate,,,,none,uncertain,False,True
ANV,,,,,uncertain,unresolved,,,,none,uncertain,False,True
AS,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
ASC,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
ASND,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
AV,,,,,uncertain,unresolved,,,,none,uncertain,False,True
AZA-A,,,,,share-class?,pattern_candidate,,,,none,uncertain,False,True
BAY,,,,,uncertain,unresolved,,,,none,uncertain,False,True
BHMSQ,,,,,bankruptcy_proceedings?,pattern_candidate,,,,none,uncertain,False,True
BKB,,,,,uncertain,unresolved,,,,none,uncertain,False,True
BLY,,,,,uncertain,unresolved,,,,none,uncertain,False,True
BMGCA,,,,,uncertain,unresolved,,,,none,uncertain,False,True
BOAT,,,,,uncertain,unresolved,,,,none,uncertain,False,True
BUD,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
CAL,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
CCB,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
CCTYQ,,,,,bankruptcy_proceedings?,pattern_candidate,,,,none,uncertain,False,True
CCU,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
CGP,,,,,uncertain,unresolved,,,,none,uncertain,False,True
CHA,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
CHRS,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
CIT-A,,CIT Group Inc.,,2022-01-04,share-class?,pattern_candidate,,,BBG00JPW01R8,polygon_reference:CIT,medium,False,True
CITGQ,,,,,bankruptcy_proceedings?,pattern_candidate,,,,none,uncertain,False,True
CMB,,,,,uncertain,unresolved,,,,none,uncertain,False,True
CNG,,,,,uncertain,unresolved,,,,none,uncertain,False,True
CNXT,,,,,uncertain,unresolved,,,,none,uncertain,False,True
COC-B,,,,,share-class?,pattern_candidate,,,,none,uncertain,False,True
CPNLQ,,,,,bankruptcy_proceedings?,pattern_candidate,,,,none,uncertain,False,True
DALRQ,,,,,bankruptcy_proceedings?,pattern_candidate,,,,none,uncertain,False,True
DCNAQ,,,,,bankruptcy_proceedings?,pattern_candidate,,,,none,uncertain,False,True
DDS,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
DEC,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
DGN,,,,,uncertain,unresolved,,,,none,uncertain,False,True
DPHIQ,,,,,bankruptcy_proceedings?,pattern_candidate,,,,none,uncertain,False,True
DWD,,,,,uncertain,unresolved,,,,none,uncertain,False,True
DYN,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
EC,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
ECH,,,,,uncertain,unresolved,,,,none,uncertain,False,True
ECO,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
EFU,,,,,uncertain,unresolved,,,,none,uncertain,False,True
EKDKQ,,,,,bankruptcy_proceedings?,pattern_candidate,,,,none,uncertain,False,True
ENRNQ,,,,,bankruptcy_proceedings?,pattern_candidate,,,,none,uncertain,False,True
EP,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
EQ,,,,,bankruptcy_proceedings?,pattern_candidate,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
ETS,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
FBO,,,,,uncertain,unresolved,,,,none,uncertain,False,True
FII,,,,,uncertain,unresolved,,,,none,uncertain,False,True
FJ,,,,,uncertain,unresolved,,,,none,uncertain,False,True
FLMIQ,,,,,bankruptcy_proceedings?,pattern_candidate,,,,none,uncertain,False,True
FLTWQ,,,,,bankruptcy_proceedings?,pattern_candidate,,,,none,uncertain,False,True
FMCC,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
FMY,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
FNMA,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
FPC,,,,,uncertain,unresolved,,,,none,uncertain,False,True
FRO,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
FTL-A,,,,,share-class?,pattern_candidate,,,,none,uncertain,False,True
GAPTQ,,,,,bankruptcy_proceedings?,pattern_candidate,,,,none,uncertain,False,True
GDT,,,,,uncertain,unresolved,,,,none,uncertain,False,True
GENZ,,,,,uncertain,unresolved,,,,none,uncertain,False,True
GFS-A,,,,,share-class?,pattern_candidate,,,,none,uncertain,False,True
GIDL,,,,,uncertain,unresolved,,,,none,uncertain,False,True
GNT,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
GP,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
GRN,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
GTE,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
GX,,,,,uncertain,unresolved,,,,none,uncertain,False,True
HBOC,,,,,uncertain,unresolved,,,,none,uncertain,False,True
HDLM,,,,,uncertain,unresolved,,,,none,uncertain,False,True
HFS,,,,,uncertain,unresolved,,,,none,uncertain,False,True
HM,,,,,uncertain,unresolved,,,,none,uncertain,False,True
IMNX,,,,,uncertain,unresolved,,,,none,uncertain,False,True
INCLF,,,,,uncertain,unresolved,,,,none,uncertain,False,True
JAVA,,,,,uncertain,unresolved,,,,none,uncertain,False,True
JOS,,,,,uncertain,unresolved,,,,none,uncertain,False,True
KG,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
KM,,,,,uncertain,unresolved,,,,none,uncertain,False,True
KWP,,,,,uncertain,unresolved,,,,none,uncertain,False,True
LDW-B,,,,,share-class?,pattern_candidate,,,,none,uncertain,False,True
LEHMQ,,,,,bankruptcy_proceedings?,pattern_candidate,,,,none,uncertain,False,True
LLX,,,,,uncertain,unresolved,,,,none,uncertain,False,True
LU,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
MBI,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
MCIC,,,,,uncertain,unresolved,,,,none,uncertain,False,True
MEDI,,,,,uncertain,unresolved,,,,none,uncertain,False,True
MI,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
MKG,,,,,uncertain,unresolved,,,,none,uncertain,False,True
MNR,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
MOB,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
MST,,,,,uncertain,unresolved,,,,none,uncertain,False,True
MTLQQ,,,,,bankruptcy_proceedings?,pattern_candidate,,,,none,uncertain,False,True
MTW,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
MZIAQ,,,,,bankruptcy_proceedings?,pattern_candidate,,,,none,uncertain,False,True
NAE,,,,,uncertain,unresolved,,,,none,uncertain,False,True
NC,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
NCE,,,,,uncertain,unresolved,,,,none,uncertain,False,True
NGH,,,,,uncertain,unresolved,,,,none,uncertain,False,True
NLV,,,,,uncertain,unresolved,,,,none,uncertain,False,True
NMK,,,,,uncertain,unresolved,,,,none,uncertain,False,True
NRTLQ,,,,,bankruptcy_proceedings?,pattern_candidate,,,,none,uncertain,False,True
NSI,,,,,uncertain,unresolved,,,,none,uncertain,False,True
NYN,,,,,uncertain,unresolved,,,,none,uncertain,False,True
OAT,,,,,uncertain,unresolved,,,,none,uncertain,False,True
OK,,,,,uncertain,unresolved,,,,none,uncertain,False,True
OM,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
ORX,,,,,uncertain,unresolved,,,,none,uncertain,False,True
OWENQ,,,,,bankruptcy_proceedings?,pattern_candidate,,,,none,uncertain,False,True
PAC,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
PCS,,,,,uncertain,unresolved,,,,none,uncertain,False,True
PD,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
PMI,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
PPW,,,,,uncertain,unresolved,,,,none,uncertain,False,True
PWER,,,,,uncertain,unresolved,,,,none,uncertain,False,True
RATL,,,,,uncertain,unresolved,,,,none,uncertain,False,True
RBD,,,,,uncertain,unresolved,,,,none,uncertain,False,True
RDS-A,,Royal Dutch Shell PLC ADS Class A,,2022-01-31,share-class?,pattern_candidate,,,BBG000L2LLX5,polygon_reference:RDS.A,medium,False,True
RNB,,,,,uncertain,unresolved,,,,none,uncertain,False,True
RSHCQ,,,,,bankruptcy_proceedings?,pattern_candidate,,,,none,uncertain,False,True
RYC,,,,,uncertain,unresolved,,,,none,uncertain,False,True
S,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
SB,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
SDS,,,,,uncertain,unresolved,,,,none,uncertain,False,True
SEG,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
SGID,,,,,uncertain,unresolved,,,,none,uncertain,False,True
SGP,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
SHLD,,,,,uncertain,unresolved,,,,none,uncertain,False,True
SII,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
SK,,,,,uncertain,unresolved,,,,none,uncertain,False,True
SNT,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
SSP,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
SUB,,,,,uncertain,unresolved,,,,none,uncertain,False,True
SUN,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
SUNEQ,,,,,bankruptcy_proceedings?,pattern_candidate,,,,none,uncertain,False,True
TCOMA,,,,,uncertain,unresolved,,,,none,uncertain,False,True
TDM,,,,,uncertain,unresolved,,,,none,uncertain,False,True
TEK,,,,,uncertain,unresolved,,,,none,uncertain,False,True
TEN,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
THY,,,,,uncertain,unresolved,,,,none,uncertain,False,True
TMC,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
TMC-A,,,,,share-class?,pattern_candidate,,,,none,uncertain,False,True
TOS,,,,,uncertain,unresolved,,,,none,uncertain,False,True
TX,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
UAWGQ,,,,,bankruptcy_proceedings?,pattern_candidate,,,,none,uncertain,False,True
UCC,,,,,uncertain,unresolved,,,,none,uncertain,False,True
UCL,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
UCM,,,,,uncertain,unresolved,,,,none,uncertain,False,True
UIS,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
UK,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
UMG,,,,,uncertain,unresolved,,,,none,uncertain,False,True
UN,,,,,uncertain,unresolved,,,,none,uncertain,False,True
UPC,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
UPR,,,,,uncertain,unresolved,,,,none,uncertain,False,True
USBC,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
USH,,,,,uncertain,unresolved,,,,none,uncertain,False,True
USHC,,,,,uncertain,unresolved,,,,none,uncertain,False,True
UST,,,,,uncertain,unresolved,,,,none,uncertain,False,True
USW,,,,,uncertain,unresolved,,,,none,uncertain,False,True
VAT,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
VO,,,,,uncertain,unresolved,,,,none,uncertain,False,True
VSTNQ,,VESTIN GROUP INC NEW,,2005-02-07,bankruptcy_proceedings?,pattern_candidate,,,,polygon_reference:VSTN,medium,False,True
WAI,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
WAMUQ,,,,,bankruptcy_proceedings?,pattern_candidate,,,,none,uncertain,False,True
WB,,,,,uncertain,unresolved,,,,sec_company_tickers:ticker-active(reuse?),low,False,True
WCOEQ,,,,,bankruptcy_proceedings?,pattern_candidate,,,,none,uncertain,False,True
WLA,,,,,uncertain,unresolved,,,,none,uncertain,False,True
WMX,,,,,uncertain,unresolved,,,,none,uncertain,False,True
WNDXQ,,,,,bankruptcy_proceedings?,pattern_candidate,,,,none,uncertain,False,True
YNR,,,,,uncertain,unresolved,,,,none,uncertain,False,True
